prompt,completion
"can't move , I'm alive ,","I can't move, but I'm alive,"
"want know ,","I want to know what it is,"
"I'll deal ,","I'll deal with it,"
"want ,","I want to do it,"
"help make deposit bank ? ,","Can you help me make a deposit in the bank?,"
"I'm finished ,","I'm finished,"
"feels great ,","It feels great,"
"I've ,","I've had it,"
"choice ,","It's my choice,"
"suddenly becomes important ,","It suddenly becomes important,"
"tell truth ,","Just tell the truth,"
"I'm shit anyway ,","I'm doing that shit anyway,"
", ,","No, I won't,"
"let finish anticipate I'm going say ,","Please let me finish Don't anticipate what I'm going to say,"
"Take away ,","Take that away from me,"
"That's choice ,","That's my choice,"
"makes mad ,","That makes me mad,"
"That's problem ,","That's my problem,"
"Take away ,","Take that away,"
"That's say ,","That's all I have to say,"
"stop ,","We have to stop,"
"? ,","What can I do?,"
"That's said ,","That's what I said,"
"That's like ,","That's what I like,"
"That's way works ,","That's not the way it works,"
"could use input ,","I could use your input,"
"Bet ass ,","Bet your ass,"
"Yeah , ,","Yeah, I can do that,"
"picking kids ? ,","Are you picking up the kids?,"
"help ? ,","How can I help you?,"
"pack lunch ? ,","Did you pack your lunch?,"
"I'd happy ,","I'd be happy to,"
"set table ,","Please set the table,"
"Would like go theater ? ,","Would you like to go to the theater?,"
"Change subject ,","Change the subject,"
"complain ,","Don't complain,"
",","Don't do that again,"
"make laugh ,","Don't make me laugh,"
"Put ,","Put that down,"
"believe saying ,","I believe what you were saying,"
"think ,","I don't think so,"
"could agree ,","I could not agree more,"
"agree ,","I do not agree with you,"
"I'm sure that's right ,","I'm sure that's right,"
"doubt ,","I don't doubt that,"
"wanna lay right side ,","I wanna lay on my right side,"
"Perfectly said ,","Perfectly said,"
"That's incorrect ,","That's incorrect,"
"help put away groceries ? ,","Can you help me put away the groceries?,"
"Yeah , agree ,","Yeah, I agree,"
"said ? ,","Who said so?,"
"right ,","You are right about that,"
"right ,","You are right,"
"made really good point ,","You just made a really good point,"
"missed ball ,","You missed the ball,"
"missed ball ,","You missed the ball,"
"good ? ,","Are they any good?,"
"comfortable ? ,","Are you comfortable?,"
"still going ? ,","Are we still going?,"
"busy ? ,","Are you busy?,"
"listening ? ,","Are you listening to me?,"
"OK ? ,","Are you OK?,"
"ready ? ,","Are you ready?,"
"sick ? ,","Are you sick?,"
"ask favor ? ,","Can I ask a favor?,"
"listen ? ,","Can you listen to me?,"
"want ? ,","Do you want that?,"
"like ? ,","Do you like her?,"
"like ? ,","Do you like them?,"
"say ? ,","What did it say?,"
"last week ? ,","What did you do last week?,"
"schedule ? ,","What is your schedule?,"
"wonderful ,","It is wonderful,"
"fall ? ,","What are you doing this fall?,"
"Show ,","Show me,"
"OK ? ,","Is it OK?,"
"still hurts ,","It still hurts,"
"much ? ,","How much?,"
"Jeff ,","Jeff,"
"feel ? ,","How do you feel?,"
"I'm getting sick ,","I'm getting sick of it,"
"weekend ? ,","How was your weekend?,"
"know ? ,","How will you know?,"
"hope disappointed ,","I hope you're not disappointed,"
"Spring ? ,","What are you doing this Spring?,"
"wish well ,","I wish you well,"
"coming ? ,","Is he coming?,"
"winter ? ,","What are you doing this winter?,"
"coming ? ,","Is she coming?,"
"beautiful day ,","What a beautiful day,"
"? ,","What am I doing?,"
"think ? ,","What did she think about that?,"
"What's breakfast ? ,","What's for breakfast?,"
"need soap shower ,","I need some soap in the shower,"
"think ? ,","What did he think about that?,"
"else ? ,","What else is on?,"
"next ? ,","What is next?,"
"matter ? ,","What does it matter?,"
"? ,","What then?,"
"could possibly happen ? ,","What could possibly happen?,"
"looking ? ,","Who are you looking for?,"
"What's one ? ,","What's this one for?,"
"get ? ,","Where can I get this?,"
"What's score ? ,","What's the score?,"
"Would help pants ? ,","Would you help me with my pants?,"
"Turn ,","Turn that on for me,"
",","Where is,"
"Side side ,","Side by side,"
"? ,","Why are you here?,"
"go ? ,","Why did they go there?,"
"need set doctor's appointment ,","I need to set up a doctor's appointment,"
"Who's ? ,","Who's is that?,"
"would like make date ,","I would like to make a date with,"
"? mean ? ,","Why? What do you mean?,"
"get many ? ,","Why did you get so many?,"
"That's that's happening ,","That's all that's happening,"
"go ? ,","Why don't you go?,"
"? ,","Why won't you be there?,"
"could use input ,","I could use some input,"
"That's much ,","That's not too much for me,"
"disagree ,","I disagree,"
"give hand computer ? ,","Can you give me a hand with the computer?,"
"believe ,","I don't believe you,"
"got right ,","You've got that right,"
"Uh-huh ,","Uh-huh,"
"like dream ,","Just like a dream,"
"call ? ,","Will you call them?,"
"really believe ? ,","You really believe that?,"
"go movie ? ,","Can we go to the movie?,"
"Well , see next ,","Well, I see you next,"
"Would like get mail ? ,","Would you like to get the mail?,"
"idioms ,","so these are idioms,"
"cup tea ,","It's not my cup of tea,"
"go ? ,","How did it go?,"
"Practice makes perfect ,","Practice makes perfect,"
"May go ? ,","May I go with you?,"
"That's easy say ,","That's easy for you to say,"
"? ,","What was she doing?,"
"want KISS ,","I want to KISS,"
"Leave alone ,","Leave me alone,"
"Yeah , that's pretty good ,","Yeah, that's pretty good,"
"I'm angry ,","I'm angry,"
"That's even worse ,","That's even worse,"
"feel frustrated ,","I feel frustrated,"
"hope sleep well ,","I hope you sleep well,"
"coming ? ,","When are they coming?,"
"sleep well ? ,","Did you sleep well?,"
"good day ,","Have a good day,"
"prepare dinner ? ,","Will you prepare dinner?,"
"? ,","Will you be there?,"
"Would unpack groceries ? ,","Would you unpack the groceries?,"
"deep end ,","Off the deep end,"
"Would like go ? ,","Would you like to go with me?,"
"OK ,","OK,"
"I'm worried ,","I'm worried,"
"Goodnight love ,","Goodnight I love you,"
"I'd like dinner ,","I'd like some dinner,"
"I'd like breakfast ,","I'd like some breakfast,"
"I'd like eat lunch ,","I'd like to eat lunch,"
"Pleasant dreams ,","Pleasant dreams,"
"time ? ,","What time is it?,"
"stop ? ,","When do we stop?,"
"wonderful ? ,","Isn't that wonderful?,"
"That's good know ,","That's good to know,"
"pick floor ? ,","Can you please pick that up off the floor?,"
"expecting ? ,","Who was expecting that?,"
"Well , I'm ,","Well, I'm not doing that,"
"want talk anymore ,","I don't want to talk about it anymore,"
"aggravating ,","You're aggravating me,"
"like English muffin ,","I like to have an English muffin,"
"Yeah , leave alone ,","Yeah, you should leave me alone now,"
"uncomfortable cramps ,","It's very uncomfortable when it cramps,"
"think gonna ,","I think you're gonna have to do that,"
"Ohh ,","Ohh no,"
"I'm tired ,","I'm tired of this,"
"Hey , mind ? ,","Hey, you out your mind?,"
"feel happy ,","I feel happy,"
"sleep well ? ,","Did you sleep well?,"
"I'm exhausted ,","I'm just exhausted,"
"nice day ,","Have a nice day,"
"Yeah , know ,","Yeah, I know,"
"Sweet dreams ,","Sweet dreams,"
"time bed ,","It's time for bed,"
"leaving ? ,","When are you leaving?,"
"time ? ,","What time is it?,"
"scratch softer ,","Please scratch softer,"
"scratch right ,","Please scratch right,"
"Come talk ,","Come over and talk with me,"
"Ah , see ,","Ah, I see,"
"scratch lower ,","Please scratch lower,"
"afraid ask questions ,","Don't be afraid to ask me questions,"
"something say ,","I have something to say about that,"
"kind music listen ? ,","What kind of music do you listen to?,"
"brothers sisters ? ,","Do you have any brothers and sisters?,"
"Tell hobbies ,","Tell me about your hobbies,"
"That's interesting Tell ,","That's interesting Tell me more,"
"Tell weekend ,","Tell me about your weekend,"
"I've meaning tell ,","I've been meaning to tell you,"
"think Red Sox ? ,","What do you think about the Red Sox?,"
"minute , I'm finished ,","Just a minute, I'm not finished,"
"Say , missed ,","Say that again, I missed it,"
"change position bed right ,","Please change the position of the bed to the right,"
"Let's go ,","Let's not go into that again,"
"change subject ,","Please don't change the subject,"
"Can't wait another time ? ,","Can't that wait for another time?,"
"Let's go ,","Let's not go into that again,"
"help reach ,","Please help me reach for the,"
"bother right ,","Don't bother about that right now,"
"? ,","Then what after this?,"
"often ? ,","How often do you do this?,"
"cut food ? ,","Can you cut the food for me?,"
"? ,","Can I have more please?,"
"Take time , patience ,","Take your time, have some patience,"
"I'm hungry anymore ,","I'm not hungry anymore,"
"time tomorrow ? ,","What time tomorrow?,"
"I'm hungry ,","I'm not hungry at all,"
"chocolate ? ,","Do you have any chocolate?,"
"help breakfast ? ,","Can you help me with my breakfast?,"
"linguisa ? ,","Can I have some linguisa?,"
"help drink ? ,","Can you help me with my drink?,"
"can't eat another bite ,","I can't eat another bite,"
"save another time ? ,","Can you save this for another time?,"
"I'd like eat breakfast ,","I'd like to eat breakfast now,"
"hungry ,","I am so hungry,"
"eat day ,","I couldn't eat this all day,"
"want eat dinner ,","I don't want to eat dinner now,"
"want eat lunch ,","I don't want to eat lunch now,"
"want eat breakfast ,","I don't want to eat breakfast now,"
"think tastes good ,","I think it tastes so good,"
"think want anymore ,","I don't think I want anymore,"
"need napkin ,","I need a napkin,"
"would like cookie ,","I would like a cookie,"
"feel like eating something salty ,","I feel like eating something salty,"
"hate eat ,","I hate to eat that,"
"would like piece cake ,","I would like a piece of cake,"
"would like ,","I would like some more,"
"ready eat little ,","I will be ready to eat in a little while,"
"would like pretzels ,","I would like some pretzels,"
"would like ice cream ,","I would like some ice cream,"
"would like salad ,","I would like a salad,"
"would like eat potatoes ,","I would like to eat some potatoes,"
"would like piece fruit ,","I would like a piece of fruit,"
"would like snack ,","I would like to have a snack,"
"I'd like coffee ,","I'd like to have some coffee,"
"I'd like noodles ,","I'd like to have some noodles,"
"I'd like pizza ,","I'd like to have some pizza,"
"I'd like eggs scrambled ,","I'd like my eggs scrambled,"
"would like water ,","I would like to have some water,"
"I'd like eat dinner ,","I'd like to eat dinner now,"
"I'd like oatmeal ,","I'd like to have some oatmeal,"
"would like vegetables dinner ,","I would like to have vegetables with my dinner,"
"like soup ,","I like to have some soup,"
"like pasta ,","I like to have some pasta,"
"I'd like hot dog ,","I'd like to have a hot dog,"
"I'd like eat lunch soon ,","I'd like to eat lunch soon,"
"need sugar ,","I do not need sugar,"
"I'd like peanut butter sandwich ,","I'd like to have a peanut butter sandwich,"
"like ketchup ,","I do not like ketchup,"
"Thank making ,","Thank you for making that for me,"
"Would like snack ? ,","Would you like a snack?,"
"I'd like pancakes ,","I'd like to have pancakes,"
"I'd like dinner ,","I'd like to have dinner now,"
"like Dapper Dan ,","I like to have a Dapper Dan,"
"eat morning ? ,","What can I have to eat this morning?,"
"really like ,","I really don't like that,"
"really like go ,","I really like to go there,"
"I'd like onions sandwich ,","I'd like to have some onions on my sandwich,"
"always make things like eat ,","You always make the things I like to eat,"
"Would like something eat ? ,","Would you like something to eat?,"
"like food ,","I don't like that with my food,"
"like food ,","I like that with my food,"
"like lot different sports ,","I like a lot of different sports,"
"really care sports ,","I don't really care for sports,"
"love listening music ,","I love listening to music,"
"like go car rides ,","I like to go for car rides,"
"really like go ,","I really don't like to go there,"
"like go movies ,","I like to go to the movies,"
"like see waves ocean ,","I like to see the waves in the ocean,"
"like watch sunset ,","I like to watch the sunset,"
"turn AC ,","Please turn off the AC,"
"never liked ,","I never liked it,"
"appreciate friendship ,","I appreciate your friendship,"
"I'd like talk ,","I'd like to talk about it,"
"never like ,","I never like that,"
"Thank thoughtfulness ,","Thank you for your thoughtfulness,"
"number I'm trying dial ,","The number I'm trying to dial is,"
"Thank ,","Thank you for just being you,"
"Thank helping ,","Thank you for helping me,"
"Thank good friend ,","Thank you for being such a good friend,"
"turn AC ,","Please turn up the AC,"
"Absolutely ridiculous ,","Absolutely ridiculous,"
"feels really good ,","It feels really good,"
"feel way ,","I feel the same way about it,"
"even know what's wrong ,","I don't even know what's wrong,"
"feel like seeing anybody ,","I don't feel like seeing anybody,"
"feel good ,","I don't feel good,"
"support means much ,","Your support means so much to me,"
"really like much ,","I don't really like it very much,"
"feel sorry ,","I feel sorry about that,"
"think that's good ,","I think that's good,"
"think well ,","I think I didn't do it very well,"
"honestly want ,","I honestly don't want to do it,"
"I'd like ,","I'd like to do it again,"
"think kind mean ,","I think she's kind of mean,"
"think pretty good ,","I think this is pretty good,"
"think wrong ,","I think I did it wrong,"
"disappointed ,","I was so disappointed,"
"I'm feeling little better ,","I'm feeling a little better,"
"I'm really hard time ,","I'm really having a hard time,"
"I'm concerned ,","I'm concerned about it,"
"I'm really disappointed ,","I'm really disappointed,"
"I'm still hungry ,","I'm still not hungry,"
"I'm glad done ,","I'm glad that it's done,"
"I'm excited ,","I'm so excited,"
"I'm hot ,","I'm very hot,"
"imagination ,","It's just your imagination,"
"different , right ,","It's different, all right,"
"I'm rushed ,","I'm too rushed,"
"imagination ,","It is just your imagination,"
"Sounds good ,","Sounds good to me,"
"hassle ,","It is such a hassle,"
"fair ,","That isn't fair,"
"suddenly becomes important ,","It suddenly becomes important,"
"bad ,","It is too bad,"
"plain good ,","Just plain good,"
"I'm proud ,","I'm so proud of you,"
"would great ,","That would be great,"
"would great ,","That would be great,"
"hard ,","That should be hard to do,"
"miss holding ,","I miss holding you,"
"That's alright ,","That's alright,"
"That's pretty good ,","That's pretty good,"
"amazing mother ,","You are an amazing mother,"
"good together ,","We are so good together,"
"best ,","You are the best,"
"L Sucks ,","A L S Sucks,"
"amazing son ,","You are an amazing son,"
"amazing son ,","You are an amazing son,"
"soul mate ,","You are my soul mate,"
"hear understand everything saying ,","I can hear and understand everything you are saying,"
"Fuck pity shit ,","Fuck the pity shit,"
"can't believe happening ,","I can't believe this is happening to me,"
"wish go ,","I wish you didn't have to go through this,"
"hate life ,","I hate this life,"
"want lose dignity ,","I don't want to lose my dignity,"
"disease made better person ,","Having this disease has made me a better person,"
"help ? ,","Can you help me?,"
"really sorry ,","I am really sorry,"
"Marnie ,","Marnie,"
"Madhavi ,","Madhavi,"
"seem like went well ,","It didn't seem like it went well,"
"hope going sunny ,","I hope it's going to be sunny,"
"wish could make easier ,","I wish I could make it easier,"
"hot humid today ,","It's hot and humid today,"
"mad ,","Please don't be mad at me,"
"beautiful outside ,","It's beautiful outside,"
"bright sunny outside ,","It's bright and sunny outside,"
"cold ,","It's so cold,"
"pouring cat dogs ,","It's pouring cat and dogs,"
"bright ,","It's too bright in here,"
"Another gorgeous day ,","Another gorgeous day,"
"cold go ,","It's too cold to go out,"
"Let's stay inside today ,","Let's just stay inside today,"
"slippery outside ,","It's slippery outside,"
"moon bright ,","The moon is so bright,"
"stars twinkling ,","The stars are twinkling,"
"Happy birthday ,","Happy birthday,"
"weather beautiful today ,","The weather is beautiful today,"
"rain forecast ,","There is no rain in the forecast,"
"What's weather like today ? ,","What's the weather like today?,"
"Happy Hanukkah ,","Happy Hanukkah,"
"great party ,","This is a great party,"
"Merry Christmas ,","Merry Christmas,"
"fun party ,","Have fun at the party,"
"snow forecast ,","There is no snow in the forecast,"
"back rub ? ,","Can I have a back rub?,"
"scratch back ? ,","Can you scratch my back?,"
"good ,","It's good to be in here,"
"bring iPad ? ,","Can you bring me my iPad?,"
"bring phone ? ,","Can you bring me my phone?,"
"get pillow ? ,","Can you get me a pillow?,"
"bring laptop ? ,","Can you bring me my laptop?,"
"need help putting socks ,","I need help putting on my socks,"
"take contact lenses ? ,","Can you take out my contact lenses?,"
"need help moving ,","I need help moving this,"
"want take bath ,","I want to take a bath,"
"need toothpaste ,","I need some toothpaste,"
"need use bathroom ,","I need to use the bathroom,"
"would like wash hair ,","I would like to wash my hair,"
"would like put pajamas ,","I would like to put on some pajamas,"
"cut fingernails ,","Please cut my fingernails,"
"would like use mouthwash ,","I would like to use some mouthwash,"
"? ,","So why don't we do that?,"
"Drive Carefully ,","Drive Carefully,"
"get bag ,","Please get me my bag,"
"cut toenails ,","Please cut my toenails,"
"change channel ,","Please change the channel,"
",",","
",",","
",",","
",",","
",",","
",",","
"ready go back ,","I am ready to go back,"
"I'd really like talk ,","I'd really like to talk about it,"
"know ,","I don't know where it is,"
"go back ,","I had to go back,"
"great idea ,","I have a great idea,"
"going listen music ,","We are going to listen to some music,"
",",","
"really like talk ,","I really like to talk about it,"
"forgot mention ,","I forgot to mention,"
"need see doctor ,","I need to see the doctor about,"
"know happened ,","I don't know what happened to it,"
"want go date ,","I want to go on a date,"
"remembered ,","I just remembered,"
"wondering ,","I was just wondering,"
"need explain ,","I need to explain,"
"I'm really glad dropped ,","I'm really glad you dropped by,"
"know ,","I know why,"
"want show something ,","I want to show you something,"
"saying ,","I was just saying,"
"Let's try ,","Let's try that again,"
"interrupt ,","Please don't interrupt,"
"trying tell ? ,","What are you trying to tell me?,"
"Give ,","Give me that please,"
"something say ,","I have something to say about that,"
"going today ? ,","What are you going to do today?,"
"Tell think , said ,","Tell me what you think, I said,"
"Would like interrupting ? ,","Would you like if I was interrupting you?,"
"choice ,","I have the choice,"
"really feel ,","I really feel I can do it,"
"want talk ,","I want to talk about,"
"could , would ,","If I could, I would,"
"I'm still sane ,","I'm still sane,"
"would question idea ,","I would have to question that idea,"
"absolutely ridiculous ,","It's absolutely ridiculous,"
"choices ? ,","What are my choices?,"
"I'm impossible ,","I'm doing the impossible,"
"fair ,","That is not fair,"
"anyone want go walk ? ,","Does anyone want to go for a walk?,"
"decision make ,","It's my decision to make,"
"anyone want go beach ? ,","Does anyone want to go to the beach?,"
"need help explain ? ,","Do you need my help to explain this?,"
"think ? ,","What do you think we should do?,"
"anybody want go eat ? ,","Does anybody want to go out to eat?,"
"want help assignment ? ,","Do you want me to help you with your assignment?,"
"would like eat ? ,","Where would you like to eat?,"
"birthday ? ,","What should we do for your birthday?,"
"Would like help ? ,","Would you like me to help you?,"
"would like go dinner ? ,","Where would you like to go to dinner?,"
"Would like get tickets ? ,","Would you like to get tickets?,"
"Would like go see show ? ,","Would you like to go see a show?,"
"getting ready bed ? ,","Are you getting ready for bed?,"
"going prepare dinner ? ,","Are you going to prepare dinner?,"
"bring clothes cleaners ? ,","Did you bring the clothes to the cleaners?,"
"Would like try new restaurant ? ,","Would you like to try a new restaurant?,"
"make pot coffee ? ,","Can you make a pot of coffee?,"
"laundry ? ,","Did you do the laundry?,"
"Who's going go store ? ,","Who's going to go to the store?,"
"put clothes away ? ,","Did you put your clothes away?,"
"start homework ? ,","Did you start your homework?,"
"Who's going feed dog ? ,","Who's going to feed the dog?,"
"mess around ,","Don't mess around with that,"
"Stop fidgeting ,","Stop fidgeting,"
"Stop ,","Stop what you were doing,"
"Someone needs walk dog ,","Someone needs to walk the dog,"
"incorrect ,","You are incorrect,"
"really think ? ,","Do you really think so?,"
"Uh-huh ,","Uh-huh,"
"could agree less ,","I could not agree less,"
"That's possibility ,","That's a possibility,"
"true ,","That is not true,"
"That's correct ,","That's correct,"
"Sure ,","Sure,"
"right wrong ? ,","Am I right or am I wrong?,"
"understand point ,","You don't understand my point,"
"glad ? ,","Are you glad?,"
"wrong ,","You are wrong about that,"
"Anyone sitting ? ,","Anyone sitting here?,"
"plan day ? ,","Can we plan our day?,"
"particular reason ? ,","Any particular reason?,"
"working tomorrow ? ,","Are you working tomorrow?,"
"working today ? ,","Are you working today?,"
"bring ? ,","Can you bring me?,"
"hold ? ,","Can you hold this?,"
"take ? ,","Can you take me to?,"
"know I'm going ? ,","Do you know where I'm going?,"
"look eyes ,","Please look in my eyes,"
"say ? ,","Can you say that again?,"
"know going ? ,","Do you know where we are going?,"
"know ? ,","Do you know why?,"
"like ? ,","Do you like them?,"
"like ? ,","Do you like that?,"
"want ? ,","Do you want me to?,"
"yes ? ,","Is that a yes or no?,"
"get hold ? ,","How can I get a hold of you?,"
"much ? ,","How much is it?,"
"know ? ,","How do you know?,"
"day school ? ,","How was your day at school?,"
"May interrupt ? ,","May I interrupt you?,"
"How's ? ,","How's that?,"
"? ,","How will I?,"
"answer question ,","Just answer my question,"
"way ? ,","Isn't there any way?,"
"take ? ,","Should I take it?,"
"Tell much ,","Tell me how much,"
"? ,","What am I doing?,"
"right ? ,","Is that right?,"
"? ,","What are you doing?,"
"Tell ,","Tell me what you were doing,"
"going next ? ,","Where will you be going next?,"
"summer ? ,","What are you doing this summer?,"
"going next ? ,","What are you going to do next?,"
"talking ? ,","What are you talking about?,"
"looking ? ,","What are you looking for?,"
"say ? ,","What did she say?,"
"trying ? ,","What are you trying to do?,"
"waiting ? ,","What are you waiting for?,"
"think ? ,","What do you think about that?,"
"want ? ,","What do you want to do?,"
"come ? ,","What did you come with?,"
"say ? ,","What did he say?,"
"want ? ,","What do you want?,"
"last year ? ,","What did you do last year?,"
"think ? ,","What do you think of it?,"
"mean ? ,","What does that mean?,"
"happened work today ? ,","What happened at work today?,"
"happened time ? ,","What happened this time?,"
"wrong ? ,","What is wrong?,"
"kind ? ,","What kind is it?,"
"happened afterwards ? ,","What happened afterwards?,"
"What's going ? ,","What's going on here?,"
"What's dinner ? ,","What's for dinner?,"
"What's going ? ,","What's going on there?,"
"? ,","What were they?,"
"time ? ,","What time is it?,"
"What's happening ? ,","What's happening now?,"
"What's going ? ,","What's going on?,"
"see next ? ,","When will I see you next?,"
"go ? ,","Where do I go?,"
"eat ? ,","When do we eat?,"
"What's next ? ,","What's next?,"
"come ? ,","Where did that come from?,"
"restroom ? ,","Where is the restroom?,"
"looking ? ,","Who are you looking for?,"
"one ? ,","Which one is it?,"
"Would unload groceries car ? ,","Would you unload the groceries from the car?,"
"clear blue ,","Out of the clear blue,"
"concerned ? ,","Why are you concerned?,"
"go trouble ? ,","Why did they go to all that trouble?,"
"blue moon ,","Once in a blue moon,"
"go ? ,","Why did he go there?,"
"Sit ,","Sit over here with me,"
"morning ? ,","How are you this morning?,"
"They've lost mind ,","They've lost their mind,"
"I'm overwhelmed ,","I'm overwhelmed,"
"happens sometimes ,","It happens sometimes,"
"Okie dokie ,","Okie dokie,"
"Hey , sometimes work ,","Hey, sometimes it just doesn't work out,"
"feeling today ? ,","How you feeling today?,"
"Yeah , that's little lonely ,","Yeah, that's a little lonely,"
"time everything start ? ,","What time does everything start?,"
"gotta kidding ,","You gotta be kidding me,"
"I'd like talk something ,","I'd like to talk to you about something,"
"I'd like eat breakfast ,","I'd like to eat some breakfast,"
"cool ? ,","Isn't that so cool?,"
"think Hip Hop ? ,","What do you think about Hip Hop?,"
"good weekend ? ,","Did you have a good weekend?,"
"I'd rather something else ,","I'd rather we did something else,"
"think time lunch ,","I think it's time for lunch,"
"ALS trouble speaking ,","Have ALS and I have trouble speaking,"
"chips dip ? ,","Can I have some chips and dip?,"
"tell understand I'm saying ,","Please tell me if you don't understand what I'm saying,"
"something say ,","I have something to say about that,"
"give decision later ? ,","Can I give you my decision later?,"
"anything special tonight ? ,","Are you doing anything special tonight?,"
"Would mind spelling ? ,","Would you mind spelling that for me?,"
"mayonnaise sandwich ? ,","Can I have some mayonnaise on my sandwich?,"
"change position chair right ,","Please change the position of the chair right,"
"feel like eating something sweet ,","I feel like eating something sweet,"
"really like ,","I really don't like this at all,"
"love eat I'm hungry ,","I love to eat when I'm hungry,"
"mustard sandwich ? ,","Can I have some mustard on my sandwich?,"
"love eat linguisa ,","I love to eat linguisa,"
"never want eat ,","I never want to eat that again,"
"I'd like oatmeal fruit ,","I'd like to have some oatmeal with fruit,"
"would like soda ,","I would like to have a soda,"
"would like apple ,","I would like to have an apple,"
"would like iced tea ,","I would like to have an iced tea,"
"would like yogurt berries ,","I would like to have some yogurt and berries,"
"would like eat dinner soon ,","I would like to eat dinner soon,"
"I'd like eat lunch ,","I'd like to eat lunch now,"
"would like glass milk ,","I would like to have a glass of milk,"
"I'd like omelet ,","I'd like to have an omelet,"
"I'd like French toast ,","I'd like to have French toast,"
"I'd like waffles syrup ,","I'd like to have waffles with syrup,"
"I'd like waffles syrup ,","I'd like to have waffles with syrup,"
"I'm hungry breakfast ,","I'm hungry for some breakfast,"
"really want go car ride ,","I don't really want to go for a car ride,"
"like watch Red Sox TV ,","I like to watch the Red Sox on TV,"
"I'd like fresh fruit ,","I'd like to have some fresh fruit,"
"Would like something drink ? ,","Would you like something to drink?,"
"never liked place ,","I have never liked that place,"
"tell understand I'm saying ,","Please tell me if you understand what I'm saying,"
"like soccer TV ,","I like soccer on TV,"
"I'd like listen book tape ,","I'd like to listen to a book on tape,"
"I'm grateful done ,","I'm so grateful for all you've done for me,"
"know much appreciate ? ,","Do you know how much I appreciate all you do?,"
"lucky life ,","I am lucky to have you in my life,"
"hold moment ? another call ,","Can you please hold for a moment? I have another call,"
"could never done without help ,","I could have never done this without your help,"
"Thank good friend ,","Thank you for being such a good friend,"
"good hear voice ,","It's good to hear your voice,"
"Thanks help ,","Thanks for your help,"
"good person help ,","You are such a good person to help me,"
"I'm thankful ,","I'm thankful for all you do for me,"
"understand what's going ,","I don't understand what's going on,"
"I'm anxious take ,","I'm not anxious to take any,"
"think kind nice ,","I think she's kind of nice,"
"help means much ,","Your help means so much to me,"
"Happens favorite ,","Happens to be my favorite,"
"I'm getting sides ,","I'm just getting it from all sides,"
"got bothered ,","It's got me bothered now,"
"Kind tired ,","Kind of tired,"
"Nobody seems understand ,","Nobody seems to understand,"
"little obvious ,","It's a little obvious,"
"Look , come ,","Look out, here I come,"
"amazing mom ,","You are an amazing mom,"
"amazing wife ,","You are an amazing wife,"
"missed talking ,","I missed talking to you,"
"best friend ,","You are my best friend,"
"everything I've ever wanted ,","You are everything I've ever wanted,"
"make happy ,","You make me so happy,"
"make life better ,","You make my life better,"
"enjoy spending time ,","I enjoy spending time with you,"
"determined exactly want ,","I am determined to do exactly what I want to do,"
"I'm bad day ,","I'm having a bad day,"
"I'm great day ,","I'm having a great day,"
"Sometimes want scream ,","Sometimes I just want to scream,"
"use machine communicate ,","I use this machine to communicate,"
"really makes upset ,","It really makes me upset,"
"hardly fair ,","It's hardly fair,"
"annoyed ,","Don't be annoyed with me,"
"emergency ,","This is an emergency,"
"hope everything works ,","I hope everything works out,"
"I'm really sorry hear ,","I'm really sorry to hear that,"
"need help ,","I need help now,"
"Get help ,","Get help now,"
"wish could make things better ,","I wish I could make things better for you,"
"I'm sorry feel well ,","I'm sorry you don't feel well,"
"I'm sorry bad day ,","I'm sorry you're having a bad day,"
"I'm sorry go ,","I'm sorry you have to go through this with me,"
"Try sad ,","Try not to be so sad,"
"make warmer ? ,","Can you make it warmer in here?,"
"guess better going great see ,","I guess I better be going It's been great to see you,"
"There's full moon tonight ,","There's a full moon tonight,"
"warmth forecast ,","There is no warmth in the forecast,"
"There's humidity air ,","There's no humidity in the air,"
"need help putting shoes ,","I need help putting on my shoes,"
"Congratulations wedding ,","Congratulations on your wedding,"
"need help picking ,","I need your help picking that up,"
"need soap shower ,","I need some soap in the shower,"
"want use laptop ,","I want to use the laptop,"
"want watch news ,","I want to watch the news,"
"get case ,","Please get me my case,"
"help wash face ? ,","Can you help me wash my face?,"
"would like brush teeth ,","I would like to brush my teeth,"
"would like listen music ,","I would like to listen to some music,"
"feet cold slippers ? ,","My feet are cold Can I have my slippers?,"
"help wash face ,","Please help me wash my face,"
"anything special weekend ? ,","Are you doing anything special this weekend?,"
"help wash hands ,","Please help me wash my hands,"
"know ? ,","Do you know where?,"
"news ,","I have news,"
"wait finish I'm trying say ,","Please wait until I finish what I'm trying to say,"
"know clothes ? ,","Do you know where my clothes are?,"
"want talk ,","I want to talk to you about,"
"Let tell upset ,","Let me tell you why I was upset,"
"I'll think questions ,","I'll have to think of a few more questions,"
"plan day tomorrow ? ,","Can we plan our day for tomorrow?,"
"trying say ,","All I am trying to say is,"
"guarantee anything ,","I won't guarantee anything,"
"would really like discuss ,","I would really like to discuss that further,"
"I'm still , bunch assholes ,","I'm still here, you bunch of assholes,"
"know need remind ,","I know I don't need to be remind,"
"I'm crazy ,","I'm as crazy as I was before,"
"keep mind healthy ,","Please keep in mind that I was very healthy,"
"keep mind person ,","Please keep in mind I am in person,"
"That's feel way ,","That's why I feel the way I do,"
"stay inside ? ,","How about if we just stay inside?,"
"come something better ,","You can come up with something better,"
"important ,","It's important to me,"
"need help ? ,","Do you need me to help you?,"
